AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2024,2,70101,CALLAO,CALLAO,CALLAO,F,6-11 AÑOS,PERÚ,1
2021,11,160101,LORETO,MAYNAS,IQUITOS,M,18-29 AÑOS,PERÚ,1
2022,9,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,12-17 AÑOS,PERÚ,2
2022,10,130104,LA LIBERTAD,TRUJILLO,HUANCHACO,F,30-59 AÑOS,PERÚ,1
2022,1,130401,LA LIBERTAD,CHEPEN,CHEPEN,M,18-29 AÑOS,PERÚ,1
2020,8,120701,JUNÍN,TARMA,TARMA,F,30-59 AÑOS,PERÚ,1
2025,7,80106,CUSCO,CUSCO,SANTIAGO,M,60 A MAS AÑOS,PERÚ,2
2020,5,21509,ÁNCASH,PALLASCA,PAMPAS,M,30-59 AÑOS,PERÚ,1
2023,7,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,M,30-59 AÑOS,PERÚ,1
2022,11,80901,CUSCO,LA CONVENCION,SANTA ANA,M,60 A MAS AÑOS,PERÚ,1
2023,3,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,M,18-29 AÑOS,PERÚ,1
2024,9,140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,F,12-17 AÑOS,PERÚ,1
2024,12,140115,LAMBAYEQUE,CHICLAYO,SAÑA,M,12-17 AÑOS,PERÚ,1
2022,6,100604,HUÁNUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,F,12-17 AÑOS,PERÚ,2
2024,8,150128,LIMA METROPOLITANA,LIMA,RIMAC,F,30-59 AÑOS,PERÚ,1
2020,12,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,M,60 A MAS AÑOS,PERÚ,1
2023,2,80101,CUSCO,CUSCO,CUSCO,F,30-59 AÑOS,PERÚ,2
2019,11,80104,CUSCO,CUSCO,SAN JERONIMO,F,12-17 AÑOS,PERÚ,4
2021,6,30101,APURIMAC,ABANCAY,ABANCAY,M,12-17 AÑOS,PERÚ,1
2021,9,140103,LAMBAYEQUE,CHICLAYO,ETEN,M,30-59 AÑOS,PERÚ,1
2021,3,240301,TUMBES,ZARUMILLA,ZARUMILLA,F,12-17 AÑOS,PERÚ,1
2019,5,80701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,F,6-11 AÑOS,PERÚ,1
2021,8,240101,TUMBES,TUMBES,TUMBES,F,12-17 AÑOS,PERÚ,3
2022,2,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,12-17 AÑOS,PERÚ,41
2020,3,150101,LIMA METROPOLITANA,LIMA,LIMA,M,,PERÚ,1
2025,5,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,F,12-17 AÑOS,PERÚ,7
2019,4,70106,CALLAO,CALLAO,VENTANILLA,M,18-29 AÑOS,PERÚ,1
